"DATA","OPEN","HIGH","LOW","CLOSE","VOLUME","ADJ_CLOSE","NOME_FK","OPEN_NORM","HIGH_NORM","LOW_NORM","CLOSE_NORM","ID","ROTULO"
"04/01/16","5295.899902","5331.399902","5263.799805","5270.5","0","5270.5","ASX","0.0970977330092275","0.096855055811449","0.0974241843323609","0.0966260822312138","1081","SUBIU"
"04/01/16","897.309998","897.559998","879.780029","885","0","885","EURONEXT","0.0163419487844194","0.0161969627147504","0.0161721266110409","0.0161150561401705","1258","SUBIU"
"04/01/16","8.05","8.05","8.05","8.05","0","8.05","JSEJF","1.56055504353031e-05","1.54627547716242e-05","1.57536353830358e-05","1.56046909536853e-05","1648","SUBIU"
"04/01/16","4897.649902","4903.089844","4846.97998","4903.089844","2218420000","4903.089844","NASDAQ","0.0897860736435105","0.0890634635843029","0.0896989754576894","0.0898809975987134","146","SUBIU"
"04/01/16","3296.26","3296.26","3296.26","3296.26","0","3296.26","SSE COMPOSITE","0.0603854020173387","0.0598328567166568","0.0609584141093265","0.060382076268386","736","SUBIU"
"05/01/16","5270.5","5270.5","5183.700195","5184.399902","0","5184.399902","ASX","0.0966314042425066","0.0957471966935173","0.095939643096757","0.0950454170307761","1080","BAIXOU"
"05/01/16","894.940002","895.330017","879.039978","890.530029","0","890.530029","EURONEXT","0.0162984369113495","0.0161563960684582","0.0161584107361952","0.0162165789560645","1257","BAIXOU"
"05/01/16","8","8","7.89","7.89","1200","7.89","JSEJF","1.46875768802852e-05","1.45531809615287e-05","1.27882451932878e-05","1.26673373624033e-05","1647","BAIXOU"
"05/01/16","4917.839844","4926.72998","4872.740234","4891.430176","1927380000","4891.430176","NASDAQ","0.0901567503001773","0.0894935125557569","0.0901764079857958","0.0896669440507575","145","BAIXOU"
"05/01/16","3287.71","3287.71","3287.71","3287.71","0","3287.71","SSE COMPOSITE","0.0602284285394306","0.0596773195951305","0.0607999510710619","0.0602251114358519","735","BAIXOU"
"06/01/16","3361.84","3361.84","3361.84","3361.84","0","3361.84","SSE COMPOSITE","0.0615894161321001","0.0610258537259782","0.0621738534133494","0.0615860240716127","734","BAIXOU"
"06/01/16","5184.399902","5191.100098","5094.799805","5123.100098","0","5123.100098","ASX","0.0950506519815377","0.0943027952658502","0.0942919909444397","0.0939200470343744","1079","BAIXOU"
