"DATA","OPEN","HIGH","LOW","CLOSE","VOLUME","ADJ_CLOSE","NOME_FK","OPEN_NORM","HIGH_NORM","LOW_NORM","CLOSE_NORM","ID","ROTULO"
"04/01/16","5295.899902","5331.399902","5263.799805","5270.5","0","5270.5","ASX","0.0970977330092275","0.096855055811449","0.0974241843323609","0.0966260822312138","1081","SUBIU"
"04/01/16","897.309998","897.559998","879.780029","885","0","885","EURONEXT","0.0163419487844194","0.0161969627147504","0.0161721266110409","0.0161150561401705","1258","SUBIU"
"04/01/16","8.05","8.05","8.05","8.05","0","8.05","JSEJF","1.56055504353031e-05","1.54627547716242e-05","1.57536353830358e-05","1.56046909536853e-05","1648","SUBIU"
"04/01/16","2711","2715","2633","2645","688900","2619.125","LDNXF","0.049640337961144","0.0492588792595342","0.0486657597515003","0.0484259456442718","1517","SUBIU"
"04/01/16","3296.26","3296.26","3296.26","3296.26","0","3296.26","SSE COMPOSITE","0.0603854020173387","0.0598328567166568","0.0609584141093265","0.060382076268386","736","SUBIU"
"04/01/16","10020.049805","10020.049805","9891.070312","10001.55957","4304880000","10001.55957","NYSE","0.183830626627108","0.182148518940965","0.183184575374658","0.18348104984689","292","SUBIU"
"04/01/16","6324.259766","6324.259766","6235.200195","6240.970215","0","6240.970215","NZSE","0.115977876213102","0.114916642399237","0.115427816750006","0.114442420801604","498","SUBIU"
"04/01/16","18818.580078","18951.119141","18394.429688","18450.980469","136000","18450.980469","N255","0.345366988899864","0.344617854224425","0.340783190833979","0.338599404983955","624","SUBIU"
"04/01/16","4897.649902","4903.089844","4846.97998","4903.089844","2218420000","4903.089844","NASDAQ","0.0897860736435105","0.0890634635843029","0.0896989754576894","0.0898809975987134","146","SUBIU"
"05/01/16","5270.5","5270.5","5183.700195","5184.399902","0","5184.399902","ASX","0.0966314042425066","0.0957471966935173","0.095939643096757","0.0950454170307761","1080","BAIXOU"
"05/01/16","894.940002","895.330017","879.039978","890.530029","0","890.530029","EURONEXT","0.0162984369113495","0.0161563960684582","0.0161584107361952","0.0162165789560645","1257","BAIXOU"
"05/01/16","8","8","7.89","7.89","1200","7.89","JSEJF","1.46875768802852e-05","1.45531809615287e-05","1.27882451932878e-05","1.26673373624033e-05","1647","BAIXOU"
"05/01/16","2691","2705","2616","2628","894300","2602.291","LDNXF","0.0492731485391369","0.049076964497515","0.0483506870438396","0.0481138518251981","1516","BAIXOU"
